policy,social_floor,seed,steps,tax_period_length,productivity,equality,gini,mean_coin,minimum_coin,coin_std,share_below_floor,floor_gap,floor_security,government_utility,mean_tax_rate
no_tax,100.0,0,120,20,416.4166564941406,0.17803412675857544,0.8219658732414246,416.41668701171875,15.0,758.05517578125,0.5,42.5,0.574999988079071,239.4395751953125,0.0
no_tax,100.0,1,120,20,377.1666564941406,0.18414819240570068,0.8158518075942993,377.16668701171875,15.0,660.3378295898438,0.6666666865348816,50.75,0.4925000071525574,185.75457763671875,0.0
no_tax,100.0,2,120,20,338.25,0.3519003987312317,0.6480996012687683,338.25,15.0,387.4207458496094,0.5833333730697632,46.25,0.5375000238418579,181.80938720703125,0.0
low_progressive_tax,100.0,0,120,20,414.0833435058594,0.17903733253479004,0.82096266746521,414.0833435058594,15.0,751.1356811523438,0.5,42.5,0.574999988079071,238.09791564941406,0.10000000894069672
low_progressive_tax,100.0,1,120,20,376.3333435058594,0.18455594778060913,0.8154440522193909,376.3333435058594,15.0,657.9013061523438,0.6666666865348816,50.75,0.4925000071525574,185.34417724609375,0.10000000894069672
low_progressive_tax,100.0,2,120,20,338.25,0.3519003987312317,0.6480996012687683,338.25,15.0,387.4207458496094,0.5833333730697632,46.25,0.5375000238418579,181.80938720703125,0.10000000894069672
high_progressive_tax,100.0,0,120,20,413.75,0.18643230199813843,0.8135676980018616,413.75,18.0,741.2786865234375,0.5,41.0,0.5900000333786011,244.11251831054688,0.25
high_progressive_tax,100.0,1,120,20,377.0,0.18953466415405273,0.8104653358459473,377.0,17.0,654.008056640625,0.6666666865348816,49.41666793823242,0.5058333277702332,190.69915771484375,0.25
high_progressive_tax,100.0,2,120,20,338.25,0.3519003987312317,0.6480996012687683,338.25,15.0,387.4207458496094,0.5833333730697632,46.25,0.5375000238418579,181.80938720703125,0.25
social_floor_feedback,100.0,0,120,20,413.75,0.18884921073913574,0.8111507892608643,413.75,19.0,738.3282470703125,0.5,40.5,0.5950000286102295,246.18125915527344,0.30000001192092896
social_floor_feedback,100.0,1,120,20,376.6666564941406,0.1897023320198059,0.8102976679801941,376.66668701171875,17.0,653.0357055664062,0.6666666865348816,49.41666793823242,0.5058333277702332,190.53054809570312,0.30000001192092896
social_floor_feedback,100.0,2,120,20,338.25,0.3519003987312317,0.6480996012687683,338.25,15.0,387.4207458496094,0.5833333730697632,46.25,0.5375000238418579,181.80938720703125,0.30000001192092896
