equality_weight,seed,steps,productivity,equality,gini,mean_agent_utility,mean_coin,coin_std,government_utility,mean_tax_rate
0.0,0,50,73.66666412353516,0.5563554167747498,0.44364458322525024,21.39247703552246,73.66667175292969,60.74308395385742,73.66666412353516,0.40000003576278687
0.0,1,50,54.91666793823242,0.6541591882705688,0.34584081172943115,17.163135528564453,54.91666793823242,31.279539108276367,54.91666793823242,0.6666666865348816
0.25,0,50,73.66666412353516,0.5563554167747498,0.44364458322525024,21.39247703552246,73.66667175292969,60.74308395385742,65.49620819091797,0.40000003576278687
0.25,1,50,54.91666793823242,0.6541591882705688,0.34584081172943115,17.163135528564453,54.91666793823242,31.279539108276367,50.16856002807617,0.6666666865348816
0.5,0,50,73.66666412353516,0.5563554167747498,0.44364458322525024,21.39247703552246,73.66667175292969,60.74308395385742,57.32575988769531,0.40000003576278687
0.5,1,50,54.91666793823242,0.6541591882705688,0.34584081172943115,17.163135528564453,54.91666793823242,31.279539108276367,45.42045593261719,0.6666666865348816
0.75,0,50,73.66666412353516,0.5563554167747498,0.44364458322525024,21.39247703552246,73.66667175292969,60.74308395385742,49.15530014038086,0.40000003576278687
0.75,1,50,54.91666793823242,0.6541591882705688,0.34584081172943115,17.163135528564453,54.91666793823242,31.279539108276367,40.6723518371582,0.6666666865348816
1.0,0,50,73.66666412353516,0.5563554167747498,0.44364458322525024,21.39247703552246,73.66667175292969,60.74308395385742,40.98484802246094,0.40000003576278687
1.0,1,50,54.91666793823242,0.6541591882705688,0.34584081172943115,17.163135528564453,54.91666793823242,31.279539108276367,35.92424392700195,0.6666666865348816
