policy,social_floor,seed,steps,tax_period_length,productivity,equality,gini,mean_coin,minimum_coin,coin_std,share_below_floor,floor_gap,floor_security,government_utility,mean_tax_rate
no_tax,100.0,0,40,20,147.0,0.22397446632385254,0.7760255336761475,147.0,15.0,255.48939514160156,0.6666666865348816,52.91666793823242,0.47083330154418945,69.21249389648438,0.0
low_progressive_tax,100.0,0,40,20,146.75,0.22435599565505981,0.7756440043449402,146.75,15.0,254.75384521484375,0.6666666865348816,52.91666793823242,0.47083330154418945,69.09478759765625,0.10000000894069672
high_progressive_tax,100.0,0,40,20,146.3333282470703,0.22499489784240723,0.7750051021575928,146.33334350585938,15.0,253.5291748046875,0.6666666865348816,52.91666793823242,0.47083330154418945,68.89860534667969,0.25
social_floor_feedback,100.0,0,40,20,146.1666717529297,0.22525137662887573,0.7747486233711243,146.1666717529297,15.0,253.03977966308594,0.6666666865348816,52.91666793823242,0.47083330154418945,68.82013702392578,0.30000001192092896
