social_floor,policy,seeds,mean_productivity,mean_share_below_floor,mean_floor_gap,mean_floor_security,mean_minimum_coin,mean_gini,mean_mean_tax_rate,mean_government_utility
50.0,high_progressive_tax,3,376.3333333333333,0.5277777910232544,17.166666666666668,0.6566666563351949,16.666666666666668,0.757377545038859,0.25,247.49749755859375
50.0,low_progressive_tax,3,376.22222900390625,0.5277777910232544,18.05555597941081,0.6388888756434122,15.0,0.7615021069844564,0.10000000894069672,240.36296590169272
50.0,no_tax,3,377.27777099609375,0.5277777910232544,18.05555597941081,0.6388888756434122,15.0,0.7619724273681641,0.0,241.03980000813803
50.0,social_floor_feedback,3,376.27777099609375,0.5277777910232544,17.166666666666668,0.6566666563351949,16.666666666666668,0.7573466698328654,0.2666666805744171,247.46415201822916
100.0,high_progressive_tax,3,376.3333333333333,0.5833333532015482,45.555555979410805,0.5444444616635641,16.666666666666668,0.757377545038859,0.25,205.54035441080728
100.0,low_progressive_tax,3,376.22222900390625,0.5833333532015482,46.5,0.5350000063578287,15.0,0.7615021069844564,0.10000000894069672,201.75049336751303
100.0,no_tax,3,377.27777099609375,0.5833333532015482,46.5,0.5350000063578287,15.0,0.7619724273681641,0.0,202.33451334635416
100.0,social_floor_feedback,3,376.2222188313802,0.5833333532015482,45.38888931274414,0.5461111267407736,17.0,0.7565160195032755,0.30000001192092896,206.1737314860026
150.0,high_progressive_tax,3,376.3333333333333,0.6388889153798422,76.41666920979817,0.4905555446942647,16.666666666666668,0.757377545038859,0.25,184.96185302734375
150.0,low_progressive_tax,3,376.22222900390625,0.6388889153798422,77.5277811686198,0.48314813772837323,15.0,0.7615021069844564,0.10000000894069672,181.96525065104166
150.0,no_tax,3,377.27777099609375,0.6388889153798422,77.5277811686198,0.48314813772837323,15.0,0.7619724273681641,0.0,182.48613993326822
150.0,social_floor_feedback,3,376.2222188313802,0.6388889153798422,76.19444783528645,0.49203699827194214,17.0,0.7565160195032755,0.30000001192092896,185.52498372395834
200.0,high_progressive_tax,3,376.3333333333333,0.6388889153798422,108.36111450195312,0.45819443464279175,16.666666666666668,0.757377545038859,0.25,172.43145243326822
200.0,low_progressive_tax,3,376.22222900390625,0.6388889153798422,109.47222646077473,0.4526388843854268,15.0,0.7615021069844564,0.10000000894069672,170.17474365234375
200.0,no_tax,3,377.27777099609375,0.6388889153798422,109.47222646077473,0.4526388843854268,15.0,0.7619724273681641,0.0,170.65337626139322
200.0,social_floor_feedback,3,376.2222188313802,0.6388889153798422,108.13889058430989,0.4593055446942647,17.0,0.7565160195032755,0.30000001192092896,172.84455362955728
